comid,metric,p10,p25,p50,p75,p90,source,result_type,gageid,gagetype,station_nm,usgs_lat,usgs_lon,MP_metric,class3_id,class3_name,CLASS_NAME
20247386,Peak_10,5545.322691156539,8754.741468026841,21062.3123326643,40813.6068695218,55717.575238132304,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Peak_2,896.1098587413229,1491.41515834605,3533.7556231127205,8741.68997102316,17274.9242806663,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Peak_5,2499.337,5743.5740000000005,13582.88,25546.59,35054.31,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,DS_Dur_WS,54.6333333333333,97.64375,153.966666666666,228,284,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,DS_Mag_50,9.13769234134126,91.5669505447946,180.543114937614,350.265105336434,568.639501363385,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,DS_Mag_90,23.5214536185683,104.814369720402,268.967912076906,454.243601022758,772.895958124087,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,DS_Tim,200.146666666667,236.4125,281.35,313,334.75,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,FA_Dur,2,3,5,7,13.4,obs,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,FA_Mag,233.470995920198,598.273165621744,1702.04265991593,4063.39928228949,5119.7491760835,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,FA_Tim,4.6633333333333304,12,37.1208333333334,55.14375,62,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Peak_Dur_10,1,1,1,2,3.4,obs,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Peak_Fre_10,1,1,1,2,2,obs,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,SP_Dur,31,70,130,184.5,240.338333333333,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,SP_Mag,317.15509784312,960.572189603881,3027.83992110623,8075.89183234794,11999.8920786463,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,SP_ROC,0.048079693221675,0.0595744680851064,0.0759493670886077,0.106203007518797,0.177875188536953,obs,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,SP_Tim,90.6925,136.63125,180.6,248.04375,309.82,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Wet_BFL_Dur,30.545,61.475,139.966666666666,209.525,256,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Wet_BFL_Mag_10,29.825859679503,118.087787822607,297.037342383332,449.249823846262,593.467651010611,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Wet_BFL_Mag_50,35.5874807620328,128.825012732483,429.652053950962,637.130397447568,998.865333981228,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
20247386,Wet_Tim,13.9666666666667,30.33125,58.825,118,131,model,predicted,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
22591891,Peak_Dur_2,1,1,3,7,16,inferred,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_2,1,1,2,3,5,inferred,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_5,1,1,1,2,3,inferred,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_10,40.9321349601731,118.468937392768,211.42911760730095,285.911410068731,547.494341402355,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_2,5.771635398639701,9.36656611195831,32.8417814049085,49.84389485854221,84.70347498561071,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_5,16.32268,68.67398,116.4384,181.6166,254.5639,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,DS_Dur_WS,72.99,102.15,149.0625,204.19375,246.3625,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_50,0.0603258431407031,0.516323801222331,1.35222481841265,2.4663727957658,3.63565126132079,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_90,0.305441943190971,1.13068311372925,2.33102295957674,4.10189048804761,6.19362011369204,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,DS_Tim,208.295,243.979166666667,284,308.64375,330.139166666666,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,FA_Dur,2,3,4,7,9,obs,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,FA_Mag,2.15254187139909,3.94069295450876,10.6898304456857,22.1537578367176,41.788082218062,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,FA_Tim,7.86,21.6583333333333,48,60.1666666666667,65,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_10,1,1,1,2,3.2,obs,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_10,1,1,1,1,2,obs,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,SP_Dur,35,66.2916666666667,118.858333333334,162.541666666667,194.7375,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,SP_Mag,4.48048550900114,9.05945147047915,29.2434140756158,63.8558186650106,126.707948548904,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,SP_ROC,0.0426683716965046,0.055194810813607303,0.0714285714285714,0.102555203630074,0.166666666666667,obs,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,SP_Tim,106.79,138.729166666667,162.25,211.645833333333,270.75,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Dur,30.6625,55.375,100,145.5,188.035,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Mag_10,0.0552189664152947,0.316304085917167,1.1979662963519,2.54229763427363,3.77835057332763,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Mag_50,0.440111247279432,1.24381286705477,2.81181452463543,5.02708474672381,8.74548576653291,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Wet_Tim,19.98,32.825,57.9416666666666,96,126.6725,model,predicted,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_2,1,1,3,7,16,inferred,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_2,1,1,2,3,5,inferred,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_5,1,1,1,2,3,inferred,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_10,40.9321349601731,118.468937392768,211.42911760730095,285.911410068731,547.494341402355,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_2,5.771635398639701,9.36656611195831,32.8417814049085,49.84389485854221,84.70347498561071,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_5,16.32268,68.67398,116.4384,181.6166,254.5639,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Dur_WS,72.99,102.15,149.0625,204.19375,246.3625,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_50,0.0603258431407031,0.516323801222331,1.35222481841265,2.4663727957658,3.63565126132079,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_90,0.305441943190971,1.13068311372925,2.33102295957674,4.10189048804761,6.19362011369204,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Tim,208.295,243.979166666667,284,308.64375,330.139166666666,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Dur,2,3,4,7,9,obs,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Mag,2.15254187139909,3.94069295450876,10.6898304456857,22.1537578367176,41.788082218062,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Tim,7.86,21.6583333333333,48,60.1666666666667,65,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_10,1,1,1,2,3.2,obs,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_10,1,1,1,1,2,obs,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Dur,35,66.2916666666667,118.858333333334,162.541666666667,194.7375,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Mag,4.48048550900114,9.05945147047915,29.2434140756158,63.8558186650106,126.707948548904,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_ROC,0.0426683716965046,0.055194810813607303,0.0714285714285714,0.102555203630074,0.166666666666667,obs,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Tim,106.79,138.729166666667,162.25,211.645833333333,270.75,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Dur,30.6625,55.375,100,145.5,188.035,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Mag_10,0.0552189664152947,0.316304085917167,1.1979662963519,2.54229763427363,3.77835057332763,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Mag_50,0.440111247279432,1.24381286705477,2.81181452463543,5.02708474672381,8.74548576653291,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Wet_Tim,19.98,32.825,57.9416666666666,96,126.6725,model,predicted,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_2,1,1,3,7,16,inferred,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_5,1,1,1,3,4.8,inferred,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_2,1,1,2,3,5,inferred,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_5,1,1,1,2,3,inferred,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_10,40.9321349601731,118.468937392768,211.42911760730095,285.911410068731,547.494341402355,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_2,5.771635398639701,9.36656611195831,32.8417814049085,49.84389485854221,84.70347498561071,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_5,16.32268,68.67398,116.4384,181.6166,254.5639,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Dur_WS,72.99,102.15,149.0625,204.19375,246.3625,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_50,0.0603258431407031,0.516323801222331,1.35222481841265,2.4663727957658,3.63565126132079,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Mag_90,0.305441943190971,1.13068311372925,2.33102295957674,4.10189048804761,6.19362011369204,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,DS_Tim,208.295,243.979166666667,284,308.64375,330.139166666666,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Dur,2,3,4,7,9,obs,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Mag,2.15254187139909,3.94069295450876,10.6898304456857,22.1537578367176,41.788082218062,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,FA_Tim,7.86,21.6583333333333,48,60.1666666666667,65,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Dur_10,1,1,1,2,3.2,obs,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Peak_Fre_10,1,1,1,1,2,obs,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Dur,35,66.2916666666667,118.858333333334,162.541666666667,194.7375,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Mag,4.48048550900114,9.05945147047915,29.2434140756158,63.8558186650106,126.707948548904,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_ROC,0.0426683716965046,0.055194810813607303,0.0714285714285714,0.102555203630074,0.166666666666667,obs,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,SP_Tim,106.79,138.729166666667,162.25,211.645833333333,270.75,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
22591891,Wet_BFL_Dur,30.6625,55.375,100,145.5,188.035,model,predicted,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
