p10,p25,p50,p75,p90,metric,comid,result_type,gageid,gagetype,station_nm,lat,lon,MP_metric,class3_id,class3_name,CLASS_NAME
70.6,148,160.5,321,342,Peak_Tim_10,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
69,130.5,165,307,345,Peak_Tim_2,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
59.6,82,160.5,323,354,Peak_Tim_5,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,1,1,2,2,Peak_Dur_10,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,2,7,9,12,Peak_Dur_2,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,1,2,3,3,Peak_Dur_5,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
682.4,682.4,682.4,682.4,682.4,Peak_10,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
53.5,53.5,53.5,53.5,53.5,Peak_2,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
479.2000000000002,479.2000000000002,479.2000000000002,479.2000000000002,479.2000000000002,Peak_5,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,1,1,1,1.5999999999999996,Peak_Fre_10,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,1,2,3,5,Peak_Fre_2,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
1,1,1,2,2,Peak_Fre_5,20247268,observed,10251300,ALT,"AMARGOSA RV AT TECOPA, CA",35.84944444,-116.2308333,0.3,NA,NA,NA
71.1,110.25,159,193.75,263.59999999999997,DS_Dur_WS,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
230.8,267.25,270,301,317.20000000000005,DS_Tim,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
0.7745,0.8474999999999999,0.9825,1.015,1.308,DS_Mag_50,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1.0176,1.1275,1.73,2.0625,2.211,DS_Mag_90,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
2,2,2.5,4.5,6,FA_Dur,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
2.4652577838172687,3.676368316683403,7.370588111888493,27.15474426617451,586.5322784528641,FA_Mag,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
15.5,18,18.5,22,40.5,FA_Tim,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
0.03029163818637503,0.03478260869565201,0.05002000800320126,0.05182599355531679,0.06573092731298365,SP_ROC,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
24,33,65,103,163.00000000000006,SP_Dur,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1.216,1.4450000000000005,6.195,55.825,760.5000000000001,SP_Mag,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
97.8,150,197,239,242.2,SP_Tim,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
41,64,109,193,207.6,Wet_BFL_Dur,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1.0446000000000002,1.241,1.5,2.01,2.1,Wet_BFL_Mag_10,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1.919,2.02,2.37,3.37,4.065999999999999,Wet_BFL_Mag_50,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
8.8,36.5,71.5,95,169.49999999999994,Wet_Tim,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
25.300000000000004,34.75,50.5,66.25,75.7,Peak_Tim_10,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
55.2,96,146,201.5,269.80000000000007,Peak_Tim_2,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
31.59999999999999,50.5,82,219,301.2,Peak_Tim_5,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,1,1,1,1,Peak_Dur_10,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,3,7,7.5,8.4,Peak_Dur_2,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,1,1,1.5,1.7999999999999998,Peak_Dur_5,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
760.5000000000002,760.5000000000002,760.5000000000002,760.5000000000002,760.5000000000002,Peak_10,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
27.549999999999997,27.549999999999997,27.549999999999997,27.549999999999997,27.549999999999997,Peak_2,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
330.8000000000002,330.8000000000002,330.8000000000002,330.8000000000002,330.8000000000002,Peak_5,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,1,1,1,1,Peak_Fre_10,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,1,1,3,3.4000000000000004,Peak_Fre_2,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
1,1,1,1,1,Peak_Fre_5,20247386,observed,10251330,ALT,"AMARGOSA RV ABV CHINA RANCH WASH NR TECOPA, CA",35.79052778,-116.2076389,0.37735849056603776,NA,NA,NA
12.4,51,148,199,229.8,DS_Dur_WS,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
176.10000000000002,219.25,325,367,408.5000000000001,DS_Tim,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
0,0,0,13.0375,217.5999999999999,DS_Mag_50,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
0,0,3.5400000000000036,58.07000000000001,393.67999999999984,DS_Mag_90,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
2,2,2,3,4.800000000000001,FA_Dur,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
5.1441212610711204,29.143194700755934,180.80842526882745,444.989222362183,626.4726729012499,FA_Mag,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
0,0,1.5,5.25,7.800000000000001,FA_Tim,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
0.03811766192712002,0.04748975117167339,0.0714285714285715,0.190868277226936,0.5598784194528874,SP_ROC,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
10.599999999999998,56,122,176,196.59999999999997,SP_Dur,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
30,133,304,503,609,SP_Mag,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
84,131,180,264,286,SP_Tim,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
30.5,66.5,119,187,243.5,Wet_BFL_Dur,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
0,0,0.6695,15.19,70.67500000000001,Wet_BFL_Mag_10,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1.54,9.9125,173.25,328.875,414.5,Wet_BFL_Mag_50,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
11.5,12.75,32,87.5,145.5,Wet_Tim,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
82.6,116.5,173,199,214.6,Peak_Tim_10,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
45,180.5,236.5,270.75,309.5,Peak_Tim_2,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
40.2,46.5,50,173,206.29999999999995,Peak_Tim_5,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1,1,1,4.5,6.599999999999999,Peak_Dur_10,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
6,10,31,123.5,141,Peak_Dur_2,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1.4,2,3,5,15.199999999999994,Peak_Dur_5,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
737,737,737,737,737,Peak_10,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
488,488,488,488,488,Peak_2,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
706,706,706,706,706,Peak_5,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1,1,1,2,2.5999999999999996,Peak_Fre_10,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1,3,6,10,13,Peak_Fre_2,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
1,1,2,2,4.399999999999999,Peak_Fre_5,22591891,observed,10257548,ALT,WHITEWATER R A WINDY POINT MAIN CHANNEL CA,33.8989045,-116.6211256,0.6875,2,MIXED,low-volume snowmelt and rain
127,127,127,127,127,DS_Dur_WS,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
190.6,229,293,311,321.79999999999995,DS_Tim,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0,0,0,0,0,DS_Mag_50,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0.9280000000000131,0.9280000000000131,0.9280000000000131,0.9280000000000131,0.9280000000000131,DS_Mag_90,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
5,5,5,5,5,FA_Dur,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1.466104762314233,1.466104762314233,1.466104762314233,1.466104762314233,1.466104762314233,FA_Mag,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
5,5,5,5,5,FA_Tim,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0.04668475802804167,0.0503657412239502,0.0565007132171311,0.22591364506017508,0.32756140416600144,SP_ROC,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
50.4,55.5,64,85.5,98.4,SP_Dur,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
11.12,18.05,29.6,220.3,334.71999999999997,SP_Mag,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
138.8,170,222,225.5,227.6,SP_Tim,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
71.8,82,99,137,159.79999999999998,Wet_BFL_Dur,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0,0,0,2.367,3.787199999999999,Wet_BFL_Mag_10,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
4.1339999999999995,4.59,5.35,6.72,7.542,Wet_BFL_Mag_50,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
53.2,53.5,54,88.5,109.2,Wet_Tim,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
114,114,114,114,114,Peak_Tim_10,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0,0,0,0,0,Peak_Tim_2,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
68.9,76.25,88.5,100.75,108.1,Peak_Tim_5,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1,1,1,1,1,Peak_Dur_10,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
365,365,365,365,365,Peak_Dur_2,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1.1,1.25,1.5,1.75,1.9,Peak_Dur_5,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
411,411,411,411,411,Peak_10,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
0,0,0,0,0,Peak_2,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
53.9,53.9,53.9,53.9,53.9,Peak_5,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1,1,1,1,1,Peak_Fre_10,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1,1,1,1,1,Peak_Fre_2,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
1,1,1,1,1,Peak_Fre_5,22591891,observed,10257549,ALT,WHITEWATER R A WINDY POINT OVERFLOW CHANNEL CA,33.8989045,-116.6211256,0.08750000000000001,2,MIXED,low-volume snowmelt and rain
13.1,85.25,140,194.5,234.6,DS_Dur_WS,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
190,212.5,316,371.5,407,DS_Tim,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
0,0,2.25,31.75,245.1000000000002,DS_Mag_50,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
0.01760000000000003,1.8210000000000008,9.680000000000009,76.15,248.66000000000017,DS_Mag_90,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
2,2,2.5,4,6.200000000000003,FA_Dur,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
4.789815112788499,19.984212395388504,107.50190494490128,391.99813224583454,636.0767894266605,FA_Mag,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
0,0,2,6.5,42.60000000000002,FA_Tim,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
0.02697700635085534,0.0331582804103566,0.0714285714285715,0.15384615384615383,0.4520814061054578,SP_ROC,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
18,50,107,169,179.2,SP_Dur,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
43.60000000000001,147,304,537,628.2,SP_Mag,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
87.39999999999999,156,204,271,286.8,SP_Tim,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
34.2,107.5,145,182.5,244.5,Wet_BFL_Dur,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
0,0,2.51,12.5,78.69999999999997,Wet_BFL_Mag_10,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
2.065,51,173.25,248,408.35,Wet_BFL_Mag_50,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
10.4,13,31,93,122.80000000000004,Wet_Tim,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
87.3,96.75,102.25,110.875,125.95,Peak_Tim_10,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
71.1,151,206,290,314.5,Peak_Tim_2,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
85.8,99,102.5,154.5,234.60000000000008,Peak_Tim_5,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
1,1,1,1.25,1.7000000000000002,Peak_Dur_10,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
6,10,29,110,135.4,Peak_Dur_2,22591891,observed,10257550,ALT,WHITEWATER R A WINDY PT NR WHITE WATER CA,33.8989045,-116.6211256,0.7000000000000001,2,MIXED,low-volume snowmelt and rain
